date,Central,Oak Park,Traverse Heights,Kids Creek,Slab Town,Old Towne,Downtown,Boardman
1/31/15,258918,211735,143973,218087,286486,218952,205896,295155
2/28/15,260110,212679,144058,219662,289440,219692,207101,296200
3/31/15,261268,212735,143869,220755,290703,219750,207759,294746
4/30/15,263645,213039,144455,221819,292444,220838,208574,293434
5/31/15,264775,214092,145981,220931,293217,221594,210408,294218
6/30/15,264773,216380,147762,221885,294991,222691,212084,298832
7/31/15,264140,218059,148802,223074,295659,221955,213381,302801
8/31/15,264136,219569,149381,225541,296640,221717,213870,306149
9/30/15,265031,220643,150190,227180,298703,221350,214948,309056
10/31/15,266715,223668,151244,230901,301676,223381,215751,312866
11/30/15,268613,225574,152495,234070,305747,224508,216683,315099
12/31/15,271049,227457,153435,236407,307296,225837,216532,314770
1/31/16,273575,228367,154421,237649,308411,226707,219329,314841
2/29/16,274904,231069,155533,239277,309045,228919,222788,319746
3/31/16,275215,233467,156303,241213,310666,230111,227364,326983
4/30/16,273616,235282,156057,241512,310999,230946,228025,332856
5/31/16,274949,236081,155410,247126,311439,232180,226553,330430
6/30/16,277212,236609,155101,252502,311400,234343,224364,325103
7/31/16,280963,237738,156098,258705,312595,238193,223580,320735
8/31/16,282592,239729,157511,260503,313955,241176,223598,322059
9/30/16,284640,242156,159184,262290,315656,245216,224270,323557
10/31/16,285739,242655,159964,262304,316364,247666,225074,323991
11/30/16,287424,243521,160593,262315,316354,250431,227099,324508
12/31/16,288216,243610,160697,261928,317103,251804,227988,325759
1/31/17,289529,244950,160633,263323,318114,253678,227974,327344
2/28/17,291040,245407,160734,264962,319562,254762,227261,327050
3/31/17,294348,247281,162235,268058,322114,257823,228461,328499
4/30/17,298822,249627,164797,272520,324645,261131,231374,330991
5/31/17,300855,252098,167947,273344,328117,262035,235382,339316
6/30/17,301670,253648,170589,273923,331887,261650,238744,347182
7/31/17,301539,254877,172785,273373,335747,261176,242058,354558
8/31/17,304762,256455,174624,276893,340603,264115,246628,357614
9/30/17,307388,259091,176123,280982,342817,266162,252106,361051
10/31/17,310657,262854,178141,285716,345337,268831,258887,365928
11/30/17,312051,267010,179954,289448,346114,270649,264397,370517
12/31/17,314295,272198,183179,293005,349381,273671,271844,376234
1/31/18,315718,275825,186179,295993,352167,274975,277737,379105
2/28/18,318322,279119,189284,298679,355243,276732,283639,381501
3/31/18,320114,280645,190946,300574,357263,277037,287024,381020
4/30/18,320793,282308,193114,301556,360667,276915,290579,381859
5/31/18,322008,285035,193715,300725,362769,277059,296572,383681
6/30/18,323964,289016,193907,300444,365770,278215,306860,386456
7/31/18,327009,292117,192271,301058,368362,279202,316813,388747
8/31/18,328155,292936,191442,302016,369231,279264,323213,389411
9/30/18,328748,292255,191039,301571,369075,279620,324743,390532
10/31/18,328804,292533,191373,300368,368281,280679,325712,391191
11/30/18,329050,292596,191938,300987,369338,282048,326064,391683
12/31/18,328367,290988,192067,303043,369168,281965,327101,389933
1/31/19,327246,288839,192633,303970,367826,282307,327062,389965
2/28/19,325857,287608,193930,303166,366374,281591,328193,390767
3/31/19,324978,288911,195540,301327,365695,282234,329542,393488
4/30/19,325455,290254,195807,301200,365561,283167,331815,394580
5/31/19,324762,289999,195126,301430,366540,285511,329976,393270
6/30/19,326213,289309,195792,302436,369000,287391,326251,393029
7/31/19,326672,291150,198540,303563,372202,289380,323530,394075
8/31/19,328126,295426,200788,304927,374644,290813,324457,397705
9/30/19,328344,298786,201500,305597,376292,291929,327787,398524
10/31/19,328706,299337,200869,304047,378176,291586,328827,397044
11/30/19,331518,299806,201133,304074,382002,291824,331034,398101
12/31/19,334472,301396,201492,304239,384906,293033,332379,400757
1/31/20,338201,304496,202883,306140,390011,294891,334589,404602
2/29/20,342596,308037,204293,308946,395662,298175,335834,407983
3/31/20,346510,310717,206040,311153,400131,301505,336561,410655
4/30/20,350018,313054,207543,313451,402461,305550,338602,413216
5/31/20,351661,313333,210170,315316,402297,306893,341355,413302
6/30/20,352019,313419,212221,317177,402114,307932,343551,412393
7/31/20,353443,312385,214260,318751,401864,309282,344714,411577
8/31/20,355793,312153,216800,320444,403677,312359,345555,412235
9/30/20,359972,313483,220738,323623,407629,316076,347032,415271
10/31/20,364753,316899,225648,329337,412175,321006,350594,420752
11/30/20,368445,320976,230199,333620,415215,325992,354192,425164
12/31/20,372986,325450,235056,337639,419590,331289,358058,430027
1/31/21,377952,329954,239334,341453,423430,336816,362623,434522
2/28/21,382923,334420,243681,346034,427438,342281,367798,440142
3/31/21,388913,339364,248441,352412,432895,347936,374277,446991
4/30/21,395555,345404,254687,358681,440330,353695,379609,455678
5/31/21,405342,354803,261539,366446,450359,361870,386494,468627
